length_aa,n_sig,n_proteome_sample
10,5,5
11,10,10
12,11,11
13,10,10
14,10,10
15,10,10
16,8,8
17,12,12
18,9,9
19,12,12
20,8,8
21,5,5
22,13,13
23,6,6
24,6,6
25,11,11
26,8,8
27,8,8
28,6,6
29,11,11
30,8,8
31,3,3
32,5,5
33,6,6
34,10,10
35,7,7
36,2,2
37,9,9
38,10,10
39,10,10
40,7,7
41,7,7
42,8,8
43,9,9
44,9,9
45,5,5
46,7,7
47,6,6
48,4,4
49,4,4
50,5,5
51,8,8
52,6,6
53,4,4
54,7,7
55,7,7
56,4,4
57,2,2
58,2,2
59,7,7
60,2,2
61,3,3
62,4,4
63,6,6
64,3,3
65,9,9
66,4,4
67,2,2
68,5,5
69,3,3
70,7,7
71,5,5
72,6,6
73,2,2
74,2,2
75,5,5
76,5,5
77,6,6
78,5,5
79,2,2
80,3,3
81,3,3
82,4,4
83,2,2
84,5,5
85,3,3
86,5,5
87,1,1
89,1,1
90,3,3
91,4,4
92,1,1
93,3,3
94,2,2
96,3,3
97,1,1
98,2,2
100,1,1
101,1,1
