gene_name,n_unique_filtered_peptides,smPEP_IDs
XIST,31,129058;129892;129893;129894;132529;133256;157538;189231;189525;196682;197614;202926;202927;210420;210421;224934;230056;236069;249074;249812;249876;26445;26446;275030;345489;372638;374864;379518;389116;391695;93959
PVT1,28,156233;156236;156239;162352;203247;203248;203249;203250;224706;224707;224708;224709;224710;224711;346859;346860;346861;346862;346863;346864;359938;384448;82496;82497;82498;82499;82500;82501
LINC00511,17,147766;217960;217961;217962;217963;228808;257416;274737;382374;384075;51192;61393;61394;7953;7954;7955;7956
MIR7-3HG,16,222498;222499;34237;34238;34239;34240;34241;34242;34243;370085;370086;370087;370088;370089;370090;370091
DUXAP8,15,133986;133991;145805;177783;233732;233735;233737;238722;250227;250230;250232;262313;262316;262318;357772
LINC01515,11,152697;155586;155587;180446;281186;281363;283401;283402;303653;49378;78705
HAND2-AS1,11,204887;204888;204889;204890;204891;204892;204893;204894;204895;204896;204897
MALAT1,11,11405;142088;142876;142877;148652;153719;179719;259455;260116;53972;67826
SLC16A1-AS1,9,129169;172064;173048;20290;204134;255872;268120;335598;46886
PTPRG-AS1,9,123736;123737;123738;190979;213019;249758;249759;249760;368027
FIRRE,8,115582;138998;167028;219017;264661;348017;357457;71244
CDKN2B-AS1,8,248646;254319;29158;297128;320133;55204;57175;63002
LINC01234,8,114222;181418;190654;229274;244158;25451;288918;85501
EMX2OS,8,120593;120594;169762;169764;253564;300397;300398;306154
LINC00839,7,176963;176970;264239;288857;305428;69068;71292
GATA2-AS1,6,100670;151759;296632;296633;311294;311295
PCAT7,6,175274;175275;332828;332829;366765;366766
HOXA11-AS,5,161510;224746;287825;287827;287828
LINC01508,5,10905;206002;329371;360997;368281
MIR100HG,5,11931;151225;159078;205913;99293
FENDRR,5,270334;270335;270336;270337;270338
C6orf99,4,169544;169545;169546;327431
LINC00958,4,1016;259740;281042;319898
LINC00857,4,174608;208838;272496;352071
UCA1,4,178636;178637;369422;392691
LINC01572,4,141985;141986;141987;262336
PAX8-AS1,4,195650;26896;283760;283761
MNX1-AS1,3,252050;303663;359254
AC156455.1,3,115655;136978;136979
ATP6V1B1-AS1,3,260997;298812;377972
MAGI2-AS3,3,217618;273397;88417
LINC01480,3,105495;105496;206717
LINC01116,3,204512;206406;89923
HOXA10-AS,3,215186;268557;47127
HHIP-AS1,3,272616;272617;56003
FAM222A-AS1,3,191233;265394;344492
LINC00158,3,98356;98357;98358
ZNF528-AS1,3,145030;233728;297907
VPS9D1-AS1,3,208292;211521;211522
AC106786.1,2,292454;298813
UNC5B-AS1,2,325513;330192
FEZF1-AS1,2,117876;322577
LINC01426,2,322848;322849
SNHG25,2,281269;377812
MIR222HG,2,304526;359799
MIR646HG,2,180552;59741
GAS6-AS1,2,259739;78770
GNAS-AS1,2,11301;95575
FOXP4-AS1,2,200729;61111
FOXD3-AS1,2,221465;313570
KCNMB2-AS1,2,202283;240199
HOXC13-AS,2,241784;338474
LINC00973,2,141607;219284
ELFN1-AS1,2,306429;99476
PIK3CD-AS2,2,122526;150511
SATB2-AS1,2,260428;260429
AC007128.1,1,148125
HOXB-AS3,1,212252
FAM66B,1,207912
FAM201A,1,374704
GDNF-AS1,1,176468
HAGLR,1,160098
LINC00920,1,123406
LINC00472,1,171372
HCG11,1,264830
MIR210HG,1,388514
MSC-AS1,1,341414
NR2F1-AS1,1,156817
TSPEAR-AS2,1,150601
ZIM2-AS1,1,312870
